"Longitude","Latitude"
417673.919102974,4127183.57506409
428130.010486372,4145970.00561717
438930.035800634,4144199.95556392
429089.969651967,4148580.04795969
429788.882749461,4129032.38289374
434836.856387342,4135911.13645579
438689.963595584,4143179.98280019
424140.000477121,4127459.96749495
418073.632574255,4127354.29920578
426165.783021684,4144929.42789768
426209.869746569,4144549.11404182
440899.556579412,4146900.17438454
428665.270319629,4146659.61127384
419970.028826682,4128850.03790142
436350.037031368,4137629.94918079
432643.105729299,4141408.14640361
430426.178340597,4127374.69831437
